#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
715	1819000	2730000	2282693	67
716	1987000	2982000	2484636	7
803	1266000	1901000	1578221	20
807	1565000	2349000	1958588	6
813	835000	1254000	1055302	323
817	4191000	6287000	5252484	494
818	5158000	7739000	6453446	381
820	3938000	5908000	4920783	252
821	4191000	6288000	5221876	441
823	4160000	6242000	5200720	166
824	1814000	2723000	2275074	4
827	1370000	2600000	1985000	12
831	3774000	5662000	4656632	12
833	2941000	4413000	3747089	5
837	1867000	2801000	2333098	79
839	2847000	4272000	3573070	10
840	2780000	4171000	3470403	4
847	1972000	2959000	2465377	7
849	1417000	2127000	1772479	4
850	1702000	3622000	2661910	12
851	1612000	3145000	2378154	88
853	2299000	3747000	3021150	104
856	2642000	3964000	3305835	10
859	1278000	3070000	2187836	46
860	1978000	2968000	2472857	8
861	2831000	4247000	3598193	9
865	2372000	3560000	3010135	9
870	1093000	1640000	1366555	4
876	2778000	4169000	3473652	11
964	4366000	6550000	5503776	6
971	2107000	4123000	3114938	9
979	3012000	4520000	3795066	4
986	4758000	7138000	5948101	6
989	3981000	5973000	4977085	4
996	2590000	3887000	3221314	52
1010	3787000	5681000	4734140	6
1015	1903000	2856000	2379308	5
1018	2108000	3163000	2653757	9
1019	2398000	3598000	2997845	7
1035	3357000	5036000	4196438	4
1126	3046000	6817000	4931938	56
1160	4042000	6126000	5091978	27
1165	5602000	8405000	7003498	5
1176	2175000	6526000	4350034	11
1184	5781000	8673000	7227162	5
1219	1342000	2685000	1687130	74
1229	2817000	4227000	3522111	5
1231	2611000	3917000	3263823	8
1238	2793000	4190000	3489744	87
1244	1551000	2328000	1939232	50
1245	1284000	2722000	2003092	102
1246	1385000	2078000	1724661	23
1247	1513000	2270000	1891519	231
1249	1592000	2390000	1990007	27
1252	1416000	2126000	1771221	18
1254	1609000	2414000	1998492	208
1255	1465000	2199000	1830507	82
1260	1521000	2283000	1902132	28
1261	1663000	2496000	2079750	9
1264	3387000	5082000	4215405	9
1265	2909000	4365000	3654005	12
1267	1983000	2976000	2479673	7
1270	1997000	2997000	2493700	107
1273	2134000	3202000	2667627	4
1274	2474000	3712000	3081227	12
1334	1716000	2575000	2121370	136
1335	1499000	2250000	1875197	46
1336	1703000	2556000	2142909	476
1338	1553000	2331000	1942413	51
1340	1563000	2346000	1954699	9
1343	1545000	2318000	1927681	15
1346	1595000	2393000	1995177	91
1348	1650000	2477000	2080372	23
1349	1538000	2308000	1922649	109
1351	2000000	3900000	2950000	5565
1352	2000000	3900000	2950000	16082
1353	2514000	4294000	3423331	84
1354	2000000	3900000	2950000	219
1355	2017000	3027000	2522431	4
1358	2019000	3039000	2536054	209
1359	1985000	3012000	2498465	67
1363	1659000	2510000	2085134	46
1364	1813000	2721000	2267024	6
1366	1835000	2753000	2295672	13
1376	1579000	2369000	1974256	79
1377	1511000	2499000	2004806	6
1379	1535000	2304000	1924391	8
1390	3174000	4763000	3978935	133
1392	4350000	6526000	5442134	335
1393	5150000	7727000	6387388	18
1472	5681000	8523000	7114500	5
1473	3882000	5824000	4852736	16
1478	4516000	6775000	5647518	16
1479	2587000	3882000	3234473	4
1482	3135000	4703000	3917759	11
1488	3272000	4910000	4108978	18
1490	2847000	4272000	3566508	20
1491	2300000	4500000	3400000	989
1492	3677000	5517000	4596811	51
1494	1857000	3123000	2489854	10
1496	2450000	4760000	3605000	13139
1501	3481000	5223000	4352101	9
1502	2450000	4150000	3300000	638
1504	2681000	4023000	3399175	5
1505	2806000	4211000	3510078	57
1509	2300000	4500000	3400000	118
1510	2379000	3570000	3005000	4
1512	3997000	5997000	4995543	25
1513	2270000	3407000	2836343	43
1515	2855000	4284000	3569599	8
1517	2170000	3256000	2712824	8
1519	2459000	3689000	3074185	30
1520	4883000	7326000	6140038	237
1522	2450000	5431000	3300000	70
1525	2093000	3141000	2616971	16
1587	1481000	2523000	2005682	159
1588	1958000	3891000	2924788	10
1589	2984000	4477000	3743199	60
1590	2607000	3912000	3253666	799
1596	1302000	2537000	1912752	65
1597	2391000	3646000	3017350	230
1598	1604000	2624000	2125270	320
1599	1595000	2394000	1994264	59
1600	1321000	1983000	1652219	8
1601	1750000	2626000	2188446	30
1604	1551000	2515000	2032940	16
1605	1492000	2239000	1865693	11
1606	1299000	1950000	1626270	16
1610	2274000	3412000	2867370	12
1612	1976000	2965000	2470630	9
1613	1507000	2514000	2005051	103
1614	1102000	1654000	1377287	8
1618	1851000	3336000	2593336	5
1622	1852000	2780000	2317246	53
1623	1708000	2563000	2135020	46
1624	1573000	2361000	1981805	200
1625	1036000	1555000	1293144	33
1629	1256000	1885000	1581498	9
1630	1678000	2519000	2082770	8
1631	1178000	1768000	1471687	5
1632	1692000	2540000	2115990	5
1633	748000	2245000	1496524	13
1638	2325000	3489000	2902994	47
1639	2500000	3600000	3050000	47961
1640	2294000	3443000	2869382	169
1641	2128000	3194000	2660946	6
1961	6891000	10337000	8601401	6
1969	6174000	12721000	9447707	8
1993	8203000	12306000	10230156	5
2014	5251000	7878000	6585441	7
2021	2910000	4366000	3638186	5
2026	2085000	3129000	2595509	7
2033	2698000	4620000	3641008	14
2035	3021000	4532000	3776446	36
2039	706000	1060000	883379	19
2045	4504000	6757000	5630549	5
2047	1992000	2990000	2491206	15
2051	1717000	2576000	2150555	16
2052	2027000	3042000	2534310	20
2054	4242000	6364000	5298960	5
2055	4538000	6808000	5674554	10
2061	3671000	5508000	4698699	5
2138	1158000	2745000	1951504	6
2148	1191000	1788000	1489823	16
2151	640000	961000	800236	12
2162	1995000	2994000	2473122	4
2173	1436000	2270000	1818239	33
2208	3624000	5437000	4530808	6
2209	3263000	4895000	4079313	66
2340	2054000	3082000	2565549	56
2360	1186000	3561000	2373866	6
2371	2014000	3022000	2522542	133
2426	4128000	6193000	5160666	9
2702	1279000	1930000	1617545	125
2711	222359000	415007000	318682917	12
2718	2057000	3086000	2571547	6
2738	2273000	3410000	2832535	17
2743	3181000	4785000	3958259	26
2746	3249000	4875000	4061825	5
2748	2184000	3278000	2730877	41
2751	2815000	4224000	3519809	36
2754	2109000	3164000	2636275	6
2756	2042000	3064000	2553010	24
28025	1540000	2311000	1934957	114
28026	1756000	2635000	2205389	313
28031	3772000	5659000	4714446	33
28034	2058000	4593000	3325386	7
28035	2057000	3086000	2571734	84
28037	1570000	2620000	2095000	163
28038	1555000	2334000	1944912	27
28051	2176000	3266000	2721098	4
28052	2318000	3478000	2897637	4
28126	2578000	3868000	3222824	5
28127	2358000	3828000	3092995	6
28129	2462000	3694000	3077733	14
28130	2241000	3363000	2802052	7
28131	2220000	3331000	2775774	34
28132	2628000	3943000	3289342	30
28133	2237000	3578000	2907657	10
28134	2273000	3410000	2849142	5
28135	2534000	3802000	3168212	5
28137	2331000	3498000	2914585	4
28141	4000000	5500000	4750000	821
28151	4259000	6389000	5346359	14
28152	3743000	5615000	4679146	33
28171	3354000	5032000	4192589	12
28172	2972000	4460000	3722252	43
28173	5075000	7614000	6345190	18
28182	3755000	5634000	4759940	29
28183	3212000	4819000	4023510	40
28184	3426000	5141000	4305781	22
28188	1964000	2947000	2465558	16
28189	2134000	3202000	2672286	8
28197	1809000	2715000	2268050	77
28198	1674000	2513000	2093732	30
28200	1549000	2324000	1935074	15
29092	1546362000	2633710000	2090036034	4
29159	445315000	729016000	587165554	4
29176	49110000	73666000	61387881	4
29311	3494000	5242000	4366495	5
29320	3589000	5384000	4486401	8
29419	1539000	2310000	1924983	5
29423	2193000	3291000	2773209	5
29430	2803000	4205000	3503918	55
29432	2549000	3825000	3186773	4
29433	1847000	2772000	2309632	4
29438	4738000	7108000	5929808	117
29442	5395000	8094000	6723625	18
29447	2947000	4421000	3684091	17
29448	7585000	11379000	9482467	19
29449	3244000	9734000	6489138	12
29450	5348000	8024000	6678268	5
29459	2632000	3950000	3290822	355
29460	2635000	3954000	3294370	6
29461	2652000	3979000	3315520	71
29466	1708000	2564000	2132299	23
29471	3957000	5936000	4958179	18
29483	3479000	5220000	4349939	11
29484	3878000	5818000	4878752	35
29485	3497000	5247000	4372463	11
29486	3006000	4510000	3760380	98
29488	4323000	6486000	5414260	13
29489	3513000	5271000	4373230	14
29494	3974000	5962000	4926050	23
29495	4000000	6100000	5050000	31
29497	4337000	6507000	5450907	116
29498	4326000	6490000	5433503	9
29581	5102000	7654000	6371954	16
29656	107674000	161512000	134592505	6
29710	289703000	869110000	579406249	5
29760	235134000	705403000	470268414	11
29780	304075000	456114000	380094300	4
29833	7042000	10564000	8802515	10
29856	35293000	75743000	55518001	9
29875	30306000	52092000	40979523	7
29879	22957000	51597000	37276863	42
29881	31409000	47115000	39261962	14
29908	26017000	39026000	32521574	4
29910	24592000	36890000	30741189	8
29917	27158000	40738000	33870754	5
29920	30350000	91051000	60700043	21
33881	2878000	4318000	3620063	5
33885	1665000	4509000	3086904	5
33887	2560000	3842000	3201137	27
33888	2554000	3832000	3192866	6
33889	3079000	4619000	3851300	15
33898	6190000	9286000	7786420	4
33900	6826000	10240000	8532691	4
33903	6200000	12694000	9446868	7
33905	1843000	2765000	2303888	6
33910	8197000	12297000	10246864	7
33934	2132000	3200000	2668648	32
33936	3068000	4604000	3839138	7
33940	2804000	4207000	3515781	8
33941	2817000	4227000	3499025	11
33945	3552000	5329000	4428978	40
34038	4347000	6522000	5434946	13
34059	1871000	2808000	2339380	5
34062	2132000	3252000	2691770	23
34073	5445000	8541000	6992971	17
34085	1734000	2602000	2167533	98
34103	3674000	5512000	4592824	5
34105	1323000	1986000	1655770	25
35523	79039000	237120000	158079471	4
35525	74200000	222601000	148400005	5
35554	2996000	4495000	3779675	6
35621	6096000	9146000	7656898	5
35629	6281000	12196000	9238627	10
35703	4300000	6200000	5250000	88
35814	2957000	4436000	3696559	80
35817	1274000	1912000	1606090	9
35818	1447000	2171000	1813822	23
35833	3512000	5270000	4391094	6
35841	3054000	4582000	3819281	7
35884	224347000	658204000	441275799	4
36022	9784000	14677000	12234042	6
36035	9390000	15318000	12353776	5
36038	9312000	13970000	11714316	4
36056	29772000	89319000	59545543	4
36651	20323000	30486000	25404943	6
36745	5334000	8003000	6666445	7
36746	4693000	7041000	5870232	51
36808	2047000	3136000	2591616	23
36809	4066000	6101000	5088022	1830
36822	4186000	6281000	5233701	6
37326	7137000	10706000	8921451	9
37329	5043000	7566000	6307793	42
37330	6235000	9354000	7794329	12
37332	6263000	9395000	7828971	20
37360	18967000	28452000	23709518	49
37372	1969000	2954000	2461501	13
37928	3399000	6120000	4759549	5
37929	2912000	4370000	3641218	4
37931	3654000	5483000	4564196	8
38033	26270000	39406000	32838223	9
38170	15000	32000	23419	38
38284	1971000	2957000	2465625	7
38286	1866000	2800000	2339222	6
38289	1928000	2894000	2411135	23
38290	1931000	2898000	2414771	26
38293	3200000	5300000	4250000	67
38301	2156000	3236000	2695970	11
38304	1954000	2932000	2433864	9
38307	2808000	4213000	3510326	17
38308	2623000	3935000	3309380	5
38875	4161000	6243000	5201693	4
39152	1410000	2116000	1768263	21
39291	27070000	81213000	54141870	4
39412	28364000	42548000	35456005	5
39441	1865000	2798000	2331485	5
39482	2353000	7062000	4707511	13
40366	131622000	199251000	165436859	6
40381	12946000	38839000	25781241	8
40518	1783000	2676000	2245758	20
40519	2411000	3617000	2977727	4
40520	2795000	4527000	3677077	53
40545	2308000	3464000	2886104	28
40559	33280000	49921000	41600792	37
40576	3436000	5458000	4446905	13
41170	2621000	3933000	3319128	6
41202	3995000	5993000	4994130	6
41276	2681000	4023000	3345527	5
41734	46757000	89020000	67888183	7
41899	6396000	9595000	7951502	5
42322	2300000	3451000	2877062	4
42345	319738000	959217000	639477520	4
42354	2664000	3997000	3330830	4
42458	26734000	45256000	35995060	4
43179	1622237000	2999877000	2311057001	4
43263	3564000	5515000	4541729	19
43304	5418000	8128000	6773194	8
43305	3206000	4886000	4045793	4
43595	2608000	4014000	3310975	7
43654	3867000	5802000	4839946	4
43657	4854000	7283000	6065340	26
43658	4572000	6859000	5715014	11
43659	3096000	4687000	3891510	4
43661	3481000	5222000	4352547	4
43662	4302000	6454000	5378245	19
43992	4137000	12413000	8274914	17
44008	1723000	2955000	2339165	82
44009	2223000	3336000	2779856	4
44012	3414000	5122000	4273401	10
44056	30385000	91157000	60770893	4
44088	280000	422000	355480	4
44250	5195000	7794000	6494637	8
44252	5760000	8642000	7157035	8
44271	24906000	38898000	31902111	4
44752	4341000	13026000	8683833	4
44930	2956000	4435000	3709389	4
44935	3479000	5220000	4391782	7
45065	2117000	3176000	2646406	6
45067	2326000	3490000	2909762	4
45071	3348000	5024000	4185834	4
45073	2895000	4343000	3618999	5
45130	28993000	43490000	36241382	7
45133	33133000	53618000	43470846	11
45151	23437000	45471000	34569044	25
45157	8902000	23580000	16240949	4
46206	2258000	3608000	2932765	7
46224	2941000	4413000	3676944	39
46228	2311000	3468000	2889692	20
46256	1532000	2299000	1926580	10
46257	4765000	7160000	5980240	15
46503	3794000	5692000	4733569	72
46506	3261000	4893000	4073896	64
46541	1512000	2269000	1890427	7
47278	26397000	39597000	32997178	4
47312	3788000	5683000	4702281	6
47315	80776000	242331000	161553837	5
47466	468000	1407000	937966	37
47500	5017000	7527000	6272075	7
47877	4903000	7355000	6136963	92
47878	5375000	8063000	6690507	11
47879	4901000	7353000	6139432	14
47880	4176000	6265000	5220408	75
47883	5383000	8076000	6729262	18
47884	3943000	5915000	4929046	4
47885	4051000	6078000	5053864	16
47886	3386000	7450000	5418175	7
47917	4100000	6300000	5200000	48
47951	3972000	5959000	4981528	89
48003	762000	1144000	953288	15
49338	4257000	6387000	5322023	8
50338	5858000	8788000	7426749	4
50340	5232000	7850000	6566664	6
51288	4500000	6200000	5350000	14
51338	1636722000	3642157000	2639439459	4
51453	27457000	41187000	34322196	11
51541	3824000	11473000	7652667	11
51589	3117000	4677000	3893448	6
51641	13670000	41013000	27341524	4
52133	2775000	4164000	3474786	11
52226	2059000	3090000	2540016	4
52242	1616000	2425000	2025513	8
52584	2074000	3112000	2592740	25
52586	33406000	66592000	49999099	6
53972	3214000	4823000	4022434	7
53985	57434000	100135000	78784409	13
54005	1098000	2645000	1871565	9
54551	8360000	17364000	12862033	6
54571	6438000	9658000	8162161	15
54736	4100000	6000000	5050000	100
54913	4958000	7439000	6198467	6
54914	4811000	7218000	6049969	5
54915	5564000	8347000	6955452	4
55169	30036000	62799000	46831422	135
55181	25475000	38214000	31844308	20
55601	2095000	6286000	4202219	135
56036	522128000	939716000	730922078	4
57482	9572	15000	11966	9
57577	154506000	463520000	309013328	4
57676	5784000	8678000	7166386	5
57704	3913000	5871000	4922396	9
57705	2653000	3981000	3324508	4
57706	4400000	6200000	5300000	143
57732	2048000	3073000	2560363	7
57975	5340000	8012000	6680427	56
59893	4835000	7254000	6044698	10
60137	2912000	4369000	3640398	6
60169	25997000	38997000	32496773	4
60172	25127000	37692000	31409870	10
61235	31736000	47606000	39670923	22
61284	34191000	51288000	42747636	5
61435	1126000	1690000	1407743	32
61476	453938000	1361816000	907876966	4
61624	6991000	10487000	8701434	4
63433	176440000	478240000	327339996	4
63436	344326000	625063000	484694486	5
63459	865447000	1770746000	1318096427	4
63577	28931000	43398000	36370792	7
65357	25265000	40716000	32990475	9
65489	195331000	389790000	292560727	4
65700	3997000	5997000	4978853	7
65958	2986000	4481000	3732509	9
65959	2434000	3653000	3044158	8
66219	3769000	5654000	4711589	4
67351	6433000	9651000	8031696	13
67534	100584000	229925000	165254656	9
67581	6526000	9791000	8158415	4
67595	42140000	126422000	84280706	4
68186	5921000	8883000	7401911	4
68203	5392000	8090000	6740841	9
68879	21741000	32613000	27177293	9
68892	1433000	2306000	1863367	18
68895	6737000	10106000	8421483	5
69181	123423000	370270000	246846317	4
69218	4100000	6100000	5100000	20
69220	3719000	5580000	4632860	4
69293	345558000	518546000	432052078	6
69966	1762000	2644000	2198937	52
70255	2131000	3198000	2685087	10
70346	2786000	4180000	3481134	7
70348	3219000	4830000	3977512	4
70448	7379000	22138000	14758467	7
70611	2439000	3660000	3052492	16
75588	4990000	7487000	6238666	4
75612	5454000	8182000	6818060	11
75658	1370000	2600000	1985000	31
75736	7611000	11418000	9514252	4
75985	2105000	3158000	2605949	210
76712	83555000	250666000	167110274	5
76758	4774000	7162000	5962679	11
76759	4836000	7255000	5945120	53
76760	4769000	7154000	5972634	14
76761	5651000	8478000	7072249	24
76773	7150000	10727000	8938614	5
76775	3629000	10889000	7259217	5
76777	6183000	9275000	7729037	9
76832	3190000	4787000	4004059	14
76860	1527000	2292000	1906855	27
76862	3216000	4826000	4033770	4
77856	1596	2394	1995	419
78258	1512000	2270000	1891185	4
78327	4597000	6896000	5772780	22
78331	3523000	5286000	4371085	35
78342	1603000	2406000	2004594	4
78343	1733000	2600000	2161178	5
78345	1628000	2925000	2276555	4
78346	1779000	2670000	2230329	5
78398	4046000	6070000	5058000	19
78410	35103000	52655000	43879031	4
78448	1682000	2560000	2120601	14
79880	3435000	5154000	4296341	37
79883	3436000	5156000	4221222	7
79967	3259000	4890000	4074263	4
80600	28031000	42048000	35039901	7
81408	3061000	4592000	3844969	8
81569	3335000	5464000	4400531	18
81858	4244000	6367000	5305458	6
81947	1646000	2471000	2027140	13
81970	83595000	250787000	167191032	5
82927	353851000	530777000	442314161	4
82981	3382000	5074000	4227602	4
82983	3840000	5761000	4785383	8
82985	3230000	4847000	4038704	5
82995	4078000	6118000	5097972	4
82996	4100000	6300000	5200000	29
83184	47337000	71007000	59485962	4
83558	982000	1475000	1228576	13
83559	866000	1300000	1083215	56
83560	858000	1288000	1072952	31
83655	3966000	5950000	4935424	32
83656	6410000	9616000	8012773	6
83683	1280000	1922000	1601193	7
83771	1629000	4071000	2849946	5
83906	190534000	360468000	275501030	4
84023	3470000	5206000	4352205	5
84024	2874000	4313000	3593577	4
84025	1990000	3084000	2607656	5
84753	14464000	21697000	18168686	4
85336	1985000	2979000	2482188	40
85402	1856000	2786000	2321045	6
85404	1763000	2646000	2204450	7
86185	3994000	5992000	4987543	40
86265	5269000	7905000	6587919	6
86664	3183000	4775000	3985967	20
86665	3352000	5030000	4196768	4
89184	3526000	5290000	4407929	12
89462	2133027000	3199542000	2666284620	6
89488	20912000	31370000	26141108	4
94610	22985000	64196000	43590407	35
94624	4034000	6053000	4998128	6
94625	3798000	5698000	4727886	23
94626	3642000	6586000	5114363	6
94869	3245000	4869000	4057218	10
101480	17612000	26419000	22015789	6
101571	6023000	9036000	7528833	311
101932	4157000	12472000	8314386	23
102148	1409000	2588000	1998704	4
102684	1502000	2254000	1877617	12
102862	3080000	4621000	3861616	8
105612	1338000	2009000	1673442	4
105841	2569000	3854000	3218021	23
105843	2679000	4019000	3410644	5
106370	4210000	6316000	5262682	4
108015	6500000	9751000	8125063	9
108098	28000	43000	35228	567
108980	2798000	4198000	3492350	51
108981	2610000	3917000	3265349	14
110505	3928000	5894000	4911148	4
111105	1872000	2809000	2356049	12
111504	1438000	2159000	1800483	5
116085	2817000	4227000	3537243	8
116150	343664000	616557000	480110809	4
116598	1230000	1847000	1538523	5
117187	33775000	50664000	42270168	6
119206	1680000	2521000	2101065	11
119219	5522000	8292000	6901105	15
119858	3760000	5641000	4647754	11
119927	27466000	41201000	34333581	8
119981	2405000	3608000	3006414	4
120017	14653000	35591000	25121508	6
120168	2192	3289	2741	6
120213	2941000	4756000	3848592	7
120290	186563000	559691000	373127299	4
130049	5144000	7717000	6484667	9
130081	10934000	17212000	14073046	11
130308	28000	44000	35961	98
130309	27000	42000	34177	75
130310	28000	43000	35100	229
130328	26000	40000	33213	9
130369	27000	41000	34094	5
130453	712061000	1339519000	1025789630	4
131109	2518000	3778000	3147500	4
131111	1583000	2375000	1979164	4
131112	1553000	2330000	1941437	43
133434	300898000	451348000	376122946	4
133448	4300000	6200000	5250000	19
133704	1407	2110	1759	64
133926	1502000	2776000	2139321	6
134034	2305000	3459000	2881812	5
134533	2299000	3449000	2878042	5
134534	3445000	5169000	4307248	6
134536	5835000	8753000	7305226	5
134537	7171000	10758000	8926198	11
137779	4347000	6521000	5434029	4
137838	3648000	5670000	4705318	13
138072	1061000	3184000	2122302	17
138074	1595000	4788000	3005155	10
138336	3411000	5645000	4528307	4
138563	1438000	2159000	1809021	5
138948	5923	8884	7404	23
138949	5936	8904	7420	60
138950	5951	8926	7439	47
139021	3155000	4734000	3944576	4
145458	1853000	2781000	2320633	40
145483	2645000	3968000	3306254	4
145522	22111000	33168000	27639860	7
146017	5235000	7854000	6565366	4
146032	1456	2185	1821	69
146474	2326000	3491000	2909527	6
146476	2368000	3553000	2960230	5
147645	3715000	5574000	4644538	8
147711	5707	8560	7134	78
147712	5771	8656	7214	30
147802	628000	1887000	1245743	73
148305	32141000	54835000	43487971	8
148604	1647000	2472000	2059178	4
148814	1242000	1865000	1551609	35
158787	2515000	3773000	3143954	5
158822	3851000	6080000	4965436	5
158836	4100000	6100000	5100000	2989
158847	1784000	2677000	2239012	6
158849	2488000	4842000	3664824	9
158850	3116000	4676000	3896203	9
158877	3905000	5859000	4882482	10
159743	3041000	9126000	6083395	5
163164	995000	1493000	1247176	12
163665	3161000	4742000	3951265	5
164328	20478000	61436000	41522829	26
164514	490000	736000	613092	10
164546	5380000	8072000	6726634	43
165096	1189000	1785000	1511713	5
167740	27477000	41217000	33863057	18
170573	1974000	2963000	2472221	24
170623	3949000	5924000	4936268	5
170651	4220000	6331000	5275089	8
170652	4045000	6069000	5056674	5
170673	3770000	5656000	4698411	17
170679	4309000	6465000	5430335	10
171279	764000	1148000	956094	17
172278	2210	3315	2763	5
172797	502900000	1123618000	813259184	4
172827	2390000	3586000	2978057	4
173365	3804000	5708000	4665210	5
179879	6018000	9028000	7570238	32
179993	19160000	57483000	38321619	4
180088	31680000	47521000	39600252	4
180164	2927000	4392000	3681282	9
180170	89000	135000	112047	24
180282	5002000	8253000	6627454	10
180332	5761000	8643000	7202111	4
180498	212217000	319232000	265724573	4
180588	2515000	3774000	3144841	4
189382	3433000	5482000	4457256	12
189426	5564000	8347000	6957038	34
189691	6233000	9351000	7791721	6
190061	35000	53000	43804	11
190062	36000	55000	45781	18
190063	34000	53000	43723	67
190064	34000	53000	43719	29
190065	35000	53000	43845	27
191770	1990000	2986000	2492918	7
192421	2612000	3920000	3266182	4
192812	2523000	3807000	3165284	13
204038	3900000	5851000	4875504	16
204039	3876000	5815000	4840220	76
204042	3746000	5620000	4697973	19
204516	3338000	5197000	4267350	15
204799	3602000	5404000	4516452	5
205686	33923000	50886000	42997143	11
214473	2309000	3464000	2892868	21
214853	1669000	2900000	2284603	5
214856	2811000	4217000	3534321	14
215221	3013000	4535000	3774252	6
215358	518298000	889271000	703784309	6
217165	218685000	656058000	437371847	4
217203	5140000	7711000	6425783	7
217204	5155000	7734000	6458455	16
218284	3636000	5456000	4503809	9
219572	5098000	7648000	6372888	4
219574	5080000	7621000	6352127	13
220608	2207	3310	2759	5
220697	3803000	5706000	4755889	11
220812	1097	1646	1372	6
227866	3163000	4746000	3954476	4
227943	1793000	2691000	2241837	5
227945	1734000	2602000	2168059	4
228229	1354000	2032000	1692961	5
228604	2618000	3929000	3273498	7
230603	5882000	17647000	11764324	25
231049	2275000	3449000	2861815	9
231455	3641000	5959000	4800211	4
231936	86591000	129887000	108238750	4
232081	36312000	61748000	49029999	4
232082	40121000	60183000	50938851	9
248039	1862000	2794000	2296537	5
249248	93371000	249585000	171477875	4
266809	2820000	4231000	3525449	4
266952	2224000	3337000	2789601	4
267128	2383000	5879000	4131149	4
267135	2839000	4824000	3831721	8
267212	1933000	2901000	2417078	4
267363	2163000	3245000	2718994	4
272855	1154264000	1731398000	1442831170	4
273350	9896	15000	12370	4
273371	9866000	16134000	13000155	4
273384	3298000	4948000	4127921	29
273677	2379000	3569000	2975004	8
273678	2897000	4347000	3649755	5
285562	6516000	9776000	8146156	5
285676	5648000	8473000	7061980	6
285983	3296000	5916000	4606099	4
314275	3656000	5577000	4616455	17
314344	2244000	3368000	2805980	4
314722	2735000	4103000	3423555	6
315347	567570000	851356000	709462965	19
315405	1779000	2737000	2258003	29
316997	3322000	4984000	4152877	4
328812	5411000	8118000	6767714	31
328813	2826000	4241000	3534114	288
328814	2695000	4179000	3436873	11
351073	18000	29000	23373	4
351091	2055000	3554000	2823125	6
351187	2767000	8140000	5453263	6
372787	4258000	6389000	5331759	33
373407	33000	51000	41691	4
393921	1685000	2529000	2106861	6
415593	30973000	46460000	39125760	5
416169	3052000	5135000	4112801	4
418719	3300000	5126000	4269647	5
419005	1905000	2859000	2382022	5
419015	1432000	2150000	1790970	10
419257	3921000	5883000	4950504	14
419475	3983000	5976000	4982756	9
419596	3930000	5896000	4912853	6
433720	81877000	245632000	163754469	8
463360	2064	3097	2581	5
463676	5668	8503	7086	27
463681	28844000	43267000	36066183	4
485880	4229000	7257000	5747977	5
486698	5406000	8110000	6757870	10
487174	2762000	4144000	3452571	8
487175	2344000	3517000	2930002	15
487316	2769000	4154000	3464406	40
487514	4207000	6451000	5329312	4
489632	4329000	6495000	5420600	8
489910	1241000	1863000	1562242	4
528191	5376000	8065000	6782165	16
529731	2195000	3294000	2745869	38
648995	3906000	6901000	5431554	25
649756	2322000	3809000	3061318	58
650003	3120000	4681000	3900829	22
671266	2330000	3496000	2895211	5
671267	4232000	6349000	5233225	6
673372	3152000	4729000	3940552	4
758802	2898000	8229000	5563574	4
759620	1098000	1648000	1372683	4
762209	2265000	3399000	2867214	5
930805	3251000	4878000	4090275	4
930965	2068	3103	2586	4
931244	6427	9640	8034	4
931533	1948000	2923000	2428134	4
931866	6464000	10314000	8388913	8
932217	1972000	2959000	2470445	6
1033846	2908000	5934000	4420856	7
1034125	61000	92000	76366	15
1034136	40000	62000	50878	19
1034140	40000	62000	50841	16
1183401	4534000	6803000	5668655	7
1183410	3919000	7075000	5496704	5
1183412	3917000	7065000	5490738	6
1183413	3538000	7536000	5537155	6
1184720	5697000	8547000	7122173	9
1217970	3376000	5065000	4220446	5
1218494	1556000	2335000	1945726	4
1218507	1620000	2431000	2025403	4
1218508	1389000	2084000	1743889	5
1219382	1937000	2906000	2421479	5
3435	354277000	1062833000	708555204	4
3483	438294000	1314885000	876589811	13
3562	431304000	1293913000	862608618	4
3634	1096966000	3290899000	2193932443	5
3635	1832759000	2749140000	2302330538	7
3656	292169000	438254000	365211275	9
3659	119872000	359618000	239745052	14
3914	223901000	671705000	447803293	5
3981	699130000	1888010000	1293569600	5
3983	353431000	1060294000	703727335	7
4006	167738000	433290000	300510858	4
4072	2228436000	3453688000	2841197366	7
4081	464463000	1123019000	793740663	9
4084	519062000	984317000	751689486	4
4097	2884839000	4327260000	3606049978	4
4113	388292000	1164877000	776584226	24
4146	849922000	1607914000	1228918159	4
4182	128174000	384523000	256348445	4
4558	342313000	1026941000	684626875	6
4565	7873088000	20525754000	14199421073	26
4571	359992000	1079979000	719985405	4
4577	1469143000	2893769000	2179558763	50
4615	233994000	647689000	440841722	5
4639	352710000	529067000	440888556	4
4781	35727000	107184000	71455917	5
4784	29145000	87437000	58291129	11
4785	30253000	90760000	60506603	6
4787	100336000	301011000	200673608	5
4790	38212000	114639000	76425344	4
4792	40217000	67526000	53871265	9
5022	32014000	54840000	43426637	5
5025	21987000	65964000	43975758	88
5037	16238000	48717000	32477579	7
5039	52220000	82134000	67176644	4
5059	29582000	44374000	36979776	111
5061	28507000	42762000	35579745	66
5062	30174000	45262000	37723786	101
5067	27806000	49991000	39000708	10
5068	28037000	42057000	35047303	10
5075	29269000	43905000	36587430	6
5076	24726000	37091000	30908379	74
5077	25081000	37623000	31613314	7
5082	22246000	33593000	28149897	38
5098	19001000	28503000	23293253	7
5111	24477000	36716000	30403412	50
5113	18906000	56719000	37812213	4
